Provider,TotalClaimCount,TotalInscClaimAmtReimbursed,AvgInscClaimAmtReimbursed,TotalDeductibleAmtPaid,AvgDeductibleAmtPaid,UniqueBeneficiaryCount,AvgClaimDuration,AvgLengthOfStay,NumChronicConditions_Mean,PotentialFraud
PRV51001,25,104640,4185.6,5340.0,213.6,24,1.44,5.0,5.56,No
PRV51003,132,605670,4588.409090909091,66286.0,502.1666666666667,117,3.6742424242424243,5.161290322580645,4.545454545454546,Yes
PRV51004,149,52170,350.13422818791946,310.0,2.0805369127516777,138,1.429530201342282,,4.342281879194631,No
PRV51005,1165,280910,241.1244635193133,3700.0,3.1759656652360513,495,1.088412017167382,,4.335622317596567,Yes
PRV51007,72,33710,468.19444444444446,3264.0,45.333333333333336,58,0.9583333333333334,5.333333333333333,4.166666666666667,No
PRV51008,43,35630,828.6046511627907,2316.0,53.86046511627907,36,1.5348837209302326,4.0,3.9069767441860463,No
PRV51011,58,16630,286.7241379310345,1368.0,23.586206896551722,53,0.5517241379310345,5.0,4.586206896551724,No
PRV51012,48,16890,351.875,100.0,2.0833333333333335,31,3.7083333333333335,,4.625,No
PRV51013,46,14880,323.4782608695652,230.0,5.0,44,1.4565217391304348,,4.413043478260869,No
PRV51014,30,10480,349.3333333333333,120.0,4.0,25,0.4666666666666667,,4.333333333333333,No
PRV51015,8,700,87.5,0.0,0.0,7,0.375,,6.375,No
PRV51016,6,170,28.333333333333332,0.0,0.0,6,0.3333333333333333,,5.5,No
PRV51017,515,142720,277.126213592233,1050.0,2.0388349514563107,420,1.3572815533980582,,4.36504854368932,No
PRV51021,257,348830,1357.3151750972763,31492.0,122.53696498054475,208,2.0,4.758620689655173,4.715953307392996,Yes
PRV51023,36,65610,1822.5,8624.0,246.4,35,3.6666666666666665,3.5555555555555554,4.361111111111111,No
PRV51024,39,64050,1642.3076923076924,9702.0,248.76923076923077,38,1.641025641025641,4.333333333333333,4.717948717948718,No
PRV51025,87,118350,1360.344827586207,14284.0,164.183908045977,76,2.1724137931034484,7.0,4.436781609195402,No
PRV51026,76,19840,261.05263157894734,340.0,4.473684210526316,56,1.0921052631578947,,4.078947368421052,No
PRV51027,53,29840,563.0188679245283,0.0,0.0,44,2.1320754716981134,,4.830188679245283,No
PRV51029,93,30660,329.6774193548387,160.0,1.7204301075268817,79,0.6989247311827957,,3.913978494623656,No
PRV51030,171,739760,4326.081871345029,86748.0,510.2823529411765,145,3.198830409356725,4.621951219512195,4.7894736842105265,No
PRV51031,185,359720,1944.4324324324325,30244.0,163.48108108108107,157,2.0,5.535714285714286,4.956756756756757,No
PRV51032,23,5420,235.65217391304347,50.0,2.1739130434782608,21,0.9130434782608695,,4.434782608695652,No
PRV51035,30,32560,1085.3333333333333,1428.0,47.6,25,2.2666666666666666,14.0,4.933333333333334,No
